season,duration
1950-51,"October 18, 2022 – April 9, 2023"
1951-52,"October 18, 2022 – April 9, 2023"
1952-53,"October 18, 2022 – April 9, 2023"
1953-54,"October 18, 2022 – April 9, 2023"
1954-55,"October 18, 2022 – April 9, 2023"
1955-56,"October 18, 2022 – April 9, 2023"
1956-57,"October 18, 2022 – April 9, 2023"
1957-58,"October 18, 2022 – April 9, 2023"
1958-59,"October 18, 2022 – April 9, 2023"
1959-60,"October 18, 2022 – April 9, 2023"
1960-61,"October 18, 2022 – April 9, 2023"
1961-62,"October 18, 2022 – April 9, 2023"
1962-63,"October 18, 2022 – April 9, 2023"
1963-64,"October 18, 2022 – April 9, 2023"
1964-65,"October 18, 2022 – April 9, 2023"
1965-66,"October 18, 2022 – April 9, 2023"
1966-67,"October 18, 2022 – April 9, 2023"
1967-68,"October 18, 2022 – April 9, 2023"
1968-69,"October 18, 2022 – April 9, 2023"
1969-70,"October 18, 2022 – April 9, 2023"
1970-71,"October 18, 2022 – April 9, 2023"
1971-72,"October 18, 2022 – April 9, 2023"
1972-73,"October 18, 2022 – April 9, 2023"
1973-74,"October 18, 2022 – April 9, 2023"
1974-75,"October 18, 2022 – April 9, 2023"
1975-76,"October 18, 2022 – April 9, 2023"
1976-77,"October 18, 2022 – April 9, 2023"
1977-78,"October 18, 2022 – April 9, 2023"
1978-79,"October 18, 2022 – April 9, 2023"
1979-80,"October 18, 2022 – April 9, 2023"
1980-81,"October 18, 2022 – April 9, 2023"
1981-82,"October 18, 2022 – April 9, 2023"
1982-83,"October 18, 2022 – April 9, 2023"
1983-84,"October 18, 2022 – April 9, 2023"
1984-85,"October 18, 2022 – April 9, 2023"
1985-86,"October 18, 2022 – April 9, 2023"
1986-87,"October 18, 2022 – April 9, 2023"
1987-88,"October 18, 2022 – April 9, 2023"
1988-89,"October 18, 2022 – April 9, 2023"
1989-90,"October 18, 2022 – April 9, 2023"
1990-91,"October 18, 2022 – April 9, 2023"
1991-92,"October 18, 2022 – April 9, 2023"
1992-93,"October 18, 2022 – April 9, 2023"
1993-94,"October 18, 2022 – April 9, 2023"
1994-95,"October 18, 2022 – April 9, 2023"
1995-96,"October 18, 2022 – April 9, 2023"
1996-97,"October 18, 2022 – April 9, 2023"
1997-98,"October 18, 2022 – April 9, 2023"
1998-99,"October 18, 2022 – April 9, 2023"
1999-2000,"October 18, 2022 – April 9, 2023"
2000-01,"October 18, 2022 – April 9, 2023"
2001-02,"October 18, 2022 – April 9, 2023"
2002-03,"October 18, 2022 – April 9, 2023"
2003-04,"October 18, 2022 – April 9, 2023"
2004-05,"October 18, 2022 – April 9, 2023"
2005-06,"October 18, 2022 – April 9, 2023"
2006-07,"October 18, 2022 – April 9, 2023"
2007-08,"October 18, 2022 – April 9, 2023"
2008-09,"October 18, 2022 – April 9, 2023"
2009-10,"October 18, 2022 – April 9, 2023"
2010-11,"October 18, 2022 – April 9, 2023"
2011-12,"October 18, 2022 – April 9, 2023"
2012-13,"October 18, 2022 – April 9, 2023"
2013-14,"October 18, 2022 – April 9, 2023"
2014-15,"October 18, 2022 – April 9, 2023"
2015-16,"October 18, 2022 – April 9, 2023"
2016-17,"October 18, 2022 – April 9, 2023"
2017-18,"October 18, 2022 – April 9, 2023"
2018-19,"October 18, 2022 – April 9, 2023"
2019-20,"October 18, 2022 – April 9, 2023"
2020-21,"October 18, 2022 – April 9, 2023"
2021-22,"October 18, 2022 – April 9, 2023"
2022-23,"October 18, 2022 – April 9, 2023"
